Timestamp,Sensor_ID,Location_Type,Temperature_C,Humidity_Pct,Wind_Speed_kmh,Precipitation_mm,Traffic_Density_Score,CO2_ppm,NO2_ppb,PM2.5,PM10,AQI_Category
2025-01-04 05:00:00,SNS-036,Industrial,24.2,63.6,1.5,1,0.32,528.2,25.5,25.5,39.7,Moderate
2025-01-04 06:00:00,SNS-046,Roadside,26.2,60.9,3.9,0,0.49,474.0,37.4,42.1,61.8,Unhealthy for Sensitive
2025-01-04 07:00:00,SNS-030,Industrial,24.9,64.0,2.1,0,0.81,573.5,36.8,53.3,84.3,Unhealthy for Sensitive
2025-01-04 08:00:00,SNS-022,Roadside,28.1,56.8,4.4,0,0.94,534.9,52.4,59.5,89.2,Unhealthy
2025-01-04 09:00:00,SNS-042,Residential,23.6,60.1,5.6,0,0.77,464.4,29.0,24.8,44.6,Moderate
2025-01-04 10:00:00,SNS-045,Residential,25.4,57.8,2.1,1,0.43,439.1,20.8,15.4,24.8,Moderate
2025-01-04 11:00:00,SNS-037,Residential,25.1,62.1,6.8,0,0.51,421.7,23.3,20.6,34.3,Moderate
2025-01-04 12:00:00,SNS-034,Residential,29.0,61.2,7.1,1,0.39,405.4,23.2,7.7,21.8,Good
2025-01-04 13:00:00,SNS-046,Roadside,25.0,55.0,1.3,0,0.48,488.4,26.4,58.2,81.5,Unhealthy
2025-01-04 14:00:00,SNS-030,Industrial,23.0,65.3,3.5,0,0.51,562.9,34.3,50.9,69.3,Unhealthy for Sensitive
2025-01-04 15:00:00,SNS-032,Roadside,23.7,60.4,3.2,0,0.36,468.0,24.0,46.3,70.4,Unhealthy for Sensitive
2025-01-04 16:00:00,SNS-012,Park,25.3,54.7,2.7,0,0.97,486.5,54.4,32.5,53.8,Moderate
2025-01-04 17:00:00,SNS-031,Park,25.5,61.4,1.1,5,0.84,483.4,42.7,14.9,21.6,Moderate
2025-01-04 18:00:00,SNS-012,Park,26.8,53.3,1.9,0,0.84,471.2,47.6,30.8,53.6,Moderate
2025-01-04 19:00:00,SNS-045,Residential,22.6,54.2,0.5,0,0.82,483.9,47.3,45.4,63.9,Unhealthy for Sensitive
2025-01-04 20:00:00,SNS-037,Residential,23.7,56.3,2.4,0,0.48,454.1,34.3,26.4,40.3,Moderate
2025-01-04 21:00:00,SNS-042,Residential,24.8,58.5,1.0,0,0.43,446.1,26.6,23.2,44.2,Moderate
2025-01-04 22:00:00,SNS-024,Park,27.4,55.3,2.3,0,0.54,451.7,32.0,21.0,27.4,Moderate
2025-01-04 23:00:00,SNS-031,Park,23.2,47.5,0.8,0,0.15,392.1,17.2,4.7,8.2,Good
2025-01-05 00:00:00,SNS-028,Residential,24.7,62.1,1.9,5,0.14,419.7,16.2,11.7,11.5,Good
2025-01-05 01:00:00,SNS-038,Roadside,26.9,51.5,8.1,0,0.11,423.7,13.8,28.0,37.8,Moderate
2025-01-05 02:00:00,SNS-024,Park,25.7,57.9,2.3,0,0.11,404.3,13.9,2.0,12.0,Good
2025-01-05 03:00:00,SNS-043,Industrial,26.7,53.7,3.4,0,0.02,456.3,18.7,40.9,70.0,Unhealthy for Sensitive
2025-01-05 04:00:00,SNS-028,Residential,28.3,64.2,3.7,0,0.17,414.9,11.2,4.7,5.5,Good
2025-01-05 05:00:00,SNS-038,Roadside,26.3,51.7,3.9,0,0.4,491.5,29.8,49.2,77.8,Unhealthy for Sensitive
2025-01-05 06:00:00,SNS-033,Roadside,19.7,63.8,5.9,0,0.52,466.6,33.3,36.6,54.5,Unhealthy for Sensitive
2025-01-05 07:00:00,SNS-004,Park,23.5,60.0,6.4,0,0.94,473.2,54.9,20.1,30.6,Moderate
2025-01-05 08:00:00,SNS-008,Roadside,25.6,57.8,1.5,1,0.93,544.8,48.2,38.8,64.0,Unhealthy for Sensitive
2025-01-05 09:00:00,SNS-029,Park,22.4,61.8,2.4,1,0.77,475.5,33.7,16.9,30.3,Moderate
2025-01-05 10:00:00,SNS-046,Roadside,23.5,60.6,4.9,0,0.36,462.3,27.9,39.7,59.8,Unhealthy for Sensitive
2025-01-05 11:00:00,SNS-042,Residential,25.3,49.2,2.1,0,0.32,428.8,25.4,21.9,42.3,Moderate
2025-01-05 12:00:00,SNS-006,Industrial,27.1,50.9,3.2,0,0.38,525.6,24.7,42.7,68.0,Unhealthy for Sensitive
2025-01-05 13:00:00,SNS-046,Roadside,24.2,62.3,2.6,0,0.37,475.6,23.4,44.0,67.1,Unhealthy for Sensitive
2025-01-05 14:00:00,SNS-040,Residential,28.0,73.7,0.8,0,0.59,478.3,24.6,20.5,25.2,Moderate
2025-01-05 15:00:00,SNS-049,Industrial,26.9,58.0,5.4,0,0.54,522.5,27.9,48.4,77.6,Unhealthy for Sensitive
2025-01-05 16:00:00,SNS-015,Roadside,25.6,59.3,5.0,0,0.88,494.0,46.2,48.4,75.3,Unhealthy for Sensitive
2025-01-05 17:00:00,SNS-035,Roadside,26.7,71.6,1.8,0,0.73,513.6,28.6,52.9,82.3,Unhealthy for Sensitive
2025-01-05 18:00:00,SNS-036,Industrial,24.8,67.0,1.7,1,0.96,586.5,47.4,39.8,56.3,Unhealthy for Sensitive
2025-01-05 19:00:00,SNS-033,Roadside,25.0,57.2,9.0,0,0.91,504.8,41.4,39.8,74.3,Unhealthy for Sensitive
2025-01-05 20:00:00,SNS-041,Industrial,26.5,59.9,3.0,0,0.55,526.2,24.1,40.3,51.7,Unhealthy for Sensitive
2025-01-05 21:00:00,SNS-028,Residential,26.3,60.0,6.4,0,0.57,444.8,35.5,23.2,27.0,Moderate
2025-01-05 22:00:00,SNS-001,Roadside,26.1,62.7,8.0,0,0.53,476.4,26.2,43.9,59.5,Unhealthy for Sensitive
2025-01-05 23:00:00,SNS-015,Roadside,29.1,53.4,1.6,0,0.2,449.2,21.7,44.6,62.2,Unhealthy for Sensitive
2025-01-06 00:00:00,SNS-042,Residential,25.6,59.4,6.9,0,0.1,395.1,16.9,10.4,10.2,Good
2025-01-06 01:00:00,SNS-033,Roadside,25.5,59.0,4.6,0,0.13,440.4,12.7,36.2,47.7,Unhealthy for Sensitive
2025-01-06 02:00:00,SNS-037,Residential,25.3,67.3,3.7,0,0.03,382.8,9.8,5.0,10.3,Good
2025-01-06 03:00:00,SNS-028,Residential,23.7,52.8,6.2,0,0.13,395.3,20.0,8.5,8.6,Good
2025-01-06 04:00:00,SNS-018,Residential,24.2,57.8,0.7,5,0.19,435.2,18.9,12.1,18.5,Moderate
2025-01-06 05:00:00,SNS-014,Roadside,27.4,56.9,2.4,0,0.35,464.3,19.1,38.6,60.8,Unhealthy for Sensitive
2025-01-06 06:00:00,SNS-049,Industrial,27.8,60.9,5.0,0,0.4,519.8,22.4,41.2,68.6,Unhealthy for Sensitive
2025-01-06 07:00:00,SNS-026,Industrial,25.1,66.0,10.2,0,0.95,552.3,49.7,52.9,82.3,Unhealthy for Sensitive
2025-01-06 08:00:00,SNS-011,Residential,22.3,59.8,2.5,10,0.87,493.7,53.3,20.0,35.3,Moderate
2025-01-06 09:00:00,SNS-032,Roadside,24.9,55.0,3.7,0,0.89,523.0,43.2,54.9,79.8,Unhealthy for Sensitive
2025-01-06 10:00:00,SNS-027,Residential,25.1,60.9,4.3,0,0.36,420.6,22.1,14.9,19.9,Moderate
2025-01-06 11:00:00,SNS-023,Roadside,26.3,55.6,2.3,0,0.52,472.8,33.0,49.1,63.0,Unhealthy for Sensitive
2025-01-06 12:00:00,SNS-011,Residential,29.2,62.9,3.4,0,0.43,413.6,21.2,17.7,36.7,Moderate
2025-01-06 13:00:00,SNS-045,Residential,30.0,58.3,4.9,0,0.34,423.2,21.1,13.5,17.6,Moderate
2025-01-06 14:00:00,SNS-034,Residential,26.9,46.9,3.8,0,0.58,458.1,28.9,21.5,39.8,Moderate
2025-01-06 15:00:00,SNS-039,Park,24.8,52.2,6.3,0,0.54,416.5,36.2,5.0,10.2,Good
2025-01-06 16:00:00,SNS-019,Industrial,22.4,57.6,1.0,0,0.97,594.5,47.1,66.4,96.3,Unhealthy
2025-01-06 17:00:00,SNS-014,Roadside,25.6,69.1,4.0,0,0.71,514.0,38.7,48.0,68.0,Unhealthy for Sensitive
2025-01-06 18:00:00,SNS-028,Residential,24.4,63.2,3.0,0,0.73,473.4,39.8,32.5,56.4,Moderate
2025-01-06 19:00:00,SNS-003,Park,28.0,58.5,3.6,0,0.76,455.0,41.4,12.2,12.9,Moderate
2025-01-06 20:00:00,SNS-040,Residential,25.0,58.0,3.4,1,0.52,451.2,30.7,10.6,14.0,Good
2025-01-06 21:00:00,SNS-035,Roadside,24.4,57.0,1.1,0,0.45,495.7,22.6,50.9,72.0,Unhealthy for Sensitive
2025-01-06 22:00:00,SNS-004,Park,25.1,66.4,5.2,0,0.6,447.0,31.9,15.2,23.6,Moderate
2025-01-06 23:00:00,SNS-016,Roadside,21.7,51.6,4.2,0,0.0,428.2,8.8,21.7,33.1,Moderate
2025-01-07 00:00:00,SNS-031,Park,26.8,50.5,4.7,0,0.09,380.0,17.2,3.3,8.1,Good
2025-01-07 01:00:00,SNS-030,Industrial,24.3,64.0,4.8,0,0.07,481.7,3.9,29.7,40.2,Moderate
2025-01-07 02:00:00,SNS-011,Residential,24.9,64.3,1.6,0,0.19,410.9,24.4,18.5,26.4,Moderate
2025-01-07 03:00:00,SNS-035,Roadside,26.5,69.2,0.1,0,0.13,454.0,13.5,38.3,56.1,Unhealthy for Sensitive
2025-01-07 04:00:00,SNS-027,Residential,24.6,60.3,1.4,0,0.14,421.4,13.4,19.0,28.2,Moderate
2025-01-07 05:00:00,SNS-007,Park,23.0,60.2,2.3,0,0.46,429.9,29.7,16.3,26.4,Moderate
2025-01-07 06:00:00,SNS-034,Residential,24.9,67.8,3.5,0,0.37,426.4,19.6,18.0,33.7,Moderate
2025-01-07 07:00:00,SNS-012,Park,25.7,63.6,5.4,0,0.77,449.2,36.5,16.2,19.5,Moderate
2025-01-07 08:00:00,SNS-031,Park,25.6,61.6,1.4,0,0.74,459.1,43.6,26.9,43.6,Moderate
2025-01-07 09:00:00,SNS-007,Park,26.3,55.2,0.2,0,0.96,482.4,52.2,35.2,55.1,Unhealthy for Sensitive
2025-01-07 10:00:00,SNS-016,Roadside,22.7,58.7,8.3,0,0.36,448.9,22.6,32.6,43.4,Moderate
2025-01-07 11:00:00,SNS-032,Roadside,27.1,56.8,6.1,0,0.45,460.8,24.2,33.5,52.3,Moderate
2025-01-07 12:00:00,SNS-004,Park,26.2,52.7,2.1,1,0.39,441.3,30.2,6.8,10.5,Good
2025-01-07 13:00:00,SNS-012,Park,25.1,53.0,10.4,0,0.4,384.0,23.8,2.0,5.0,Good
2025-01-07 14:00:00,SNS-029,Park,23.0,57.1,2.2,0,0.3,416.7,24.2,7.7,13.5,Good
2025-01-07 15:00:00,SNS-007,Park,29.7,61.8,8.0,0,0.37,402.1,21.3,2.0,5.0,Good
2025-01-07 16:00:00,SNS-008,Roadside,26.2,58.9,2.2,0,0.98,531.5,45.0,63.5,88.3,Unhealthy
2025-01-07 17:00:00,SNS-021,Industrial,25.9,63.7,4.1,0,0.77,557.5,39.1,53.1,85.1,Unhealthy for Sensitive
2025-01-07 18:00:00,SNS-042,Residential,25.3,57.1,2.6,0,0.88,460.1,47.7,38.8,56.5,Unhealthy for Sensitive
2025-01-07 19:00:00,SNS-026,Industrial,25.7,61.5,0.8,0,0.98,599.0,50.1,71.7,105.3,Unhealthy
2025-01-07 20:00:00,SNS-035,Roadside,25.5,56.8,2.5,0,0.42,474.1,20.6,46.4,73.2,Unhealthy for Sensitive
2025-01-07 21:00:00,SNS-008,Roadside,27.6,57.9,8.5,0,0.41,445.4,26.6,28.5,41.7,Moderate
2025-01-07 22:00:00,SNS-022,Roadside,24.4,61.2,4.3,0,0.3,458.7,25.9,34.1,49.1,Moderate
2025-01-07 23:00:00,SNS-006,Industrial,25.3,59.9,2.9,1,0.08,499.0,16.4,22.1,25.4,Moderate
2025-01-08 00:00:00,SNS-031,Park,30.3,60.9,3.9,0,0.14,410.0,6.4,8.8,12.8,Good
2025-01-08 01:00:00,SNS-002,Industrial,21.7,56.1,6.6,0,0.12,482.0,15.6,24.2,33.4,Moderate
2025-01-08 02:00:00,SNS-022,Roadside,26.9,61.1,2.1,0,0.12,446.3,6.9,37.1,55.9,Unhealthy for Sensitive
2025-01-08 03:00:00,SNS-049,Industrial,25.8,53.8,3.6,0,0.15,523.2,18.9,36.4,60.3,Unhealthy for Sensitive
2025-01-08 04:00:00,SNS-035,Roadside,24.7,56.8,4.8,0,0.05,418.0,9.7,33.2,52.7,Moderate
2025-01-08 05:00:00,SNS-040,Residential,26.9,63.9,3.5,0,0.51,439.6,24.5,21.1,31.5,Moderate
2025-01-08 06:00:00,SNS-001,Roadside,29.2,62.7,3.5,0,0.41,467.0,18.1,45.3,68.4,Unhealthy for Sensitive
2025-01-08 07:00:00,SNS-007,Park,28.5,61.4,4.6,0,0.71,459.3,39.5,11.3,7.8,Good
2025-01-08 08:00:00,SNS-024,Park,24.6,52.2,1.1,0,0.72,459.5,37.7,32.8,52.8,Moderate
2025-01-08 09:00:00,SNS-019,Industrial,25.0,55.0,6.7,0,0.92,547.7,52.9,52.6,81.0,Unhealthy for Sensitive
2025-01-08 10:00:00,SNS-009,Park,26.7,61.3,14.1,0,0.51,380.5,24.8,2.0,5.0,Good
2025-01-08 11:00:00,SNS-023,Roadside,28.9,56.1,4.1,5,0.39,466.3,22.8,25.1,38.0,Moderate
2025-01-08 12:00:00,SNS-028,Residential,26.3,61.8,5.7,0,0.58,431.8,30.0,22.7,31.4,Moderate
2025-01-08 13:00:00,SNS-005,Industrial,27.4,59.2,4.2,0,0.36,511.3,27.1,38.0,50.6,Unhealthy for Sensitive
2025-01-08 14:00:00,SNS-046,Roadside,24.6,45.6,7.8,0,0.52,468.0,36.5,35.1,46.3,Unhealthy for Sensitive
2025-01-08 15:00:00,SNS-016,Roadside,25.6,56.7,6.8,0,0.56,466.8,36.0,38.6,58.5,Unhealthy for Sensitive
2025-01-08 16:00:00,SNS-033,Roadside,26.9,64.7,0.9,1,0.76,518.8,38.1,34.9,58.2,Moderate
2025-01-08 17:00:00,SNS-002,Industrial,25.0,54.8,1.1,0,0.74,568.6,41.0,53.4,88.3,Unhealthy for Sensitive
2025-01-08 18:00:00,SNS-024,Park,24.3,50.4,6.1,0,0.77,438.2,42.1,16.7,24.5,Moderate
2025-01-08 19:00:00,SNS-017,Roadside,25.2,62.6,4.3,0,0.7,520.9,36.7,44.4,62.8,Unhealthy for Sensitive
2025-01-08 20:00:00,SNS-022,Roadside,25.0,57.2,1.9,0,0.4,492.4,25.5,41.0,68.7,Unhealthy for Sensitive
2025-01-08 21:00:00,SNS-012,Park,24.0,64.5,3.1,0,0.4,413.4,29.8,8.4,13.5,Good
2025-01-08 22:00:00,SNS-004,Park,24.9,57.6,5.6,0,0.34,414.2,17.5,12.3,18.4,Moderate
2025-01-08 23:00:00,SNS-031,Park,24.4,67.5,3.2,0,0.09,396.6,13.4,8.3,21.2,Good
2025-01-09 00:00:00,SNS-020,Roadside,27.7,58.0,4.7,0,0.11,435.6,16.1,17.9,24.8,Moderate
2025-01-09 01:00:00,SNS-034,Residential,25.9,59.0,2.9,0,0.07,413.2,10.6,14.7,17.9,Moderate
2025-01-09 02:00:00,SNS-011,Residential,28.4,58.2,3.3,0,0.09,414.6,21.0,5.0,12.6,Good
2025-01-09 03:00:00,SNS-015,Roadside,23.5,64.7,3.6,0,0.07,442.8,11.3,26.4,38.1,Moderate
2025-01-09 04:00:00,SNS-032,Roadside,29.7,53.5,5.0,1,0.04,438.7,7.3,18.2,30.6,Moderate
2025-01-09 05:00:00,SNS-006,Industrial,26.7,54.2,0.6,0,0.52,559.3,29.8,58.4,95.0,Unhealthy
2025-01-09 06:00:00,SNS-030,Industrial,23.4,60.6,0.8,0,0.49,545.2,30.0,45.8,67.6,Unhealthy for Sensitive
2025-01-09 07:00:00,SNS-011,Residential,26.3,55.5,7.1,0,0.73,455.3,40.0,23.1,33.7,Moderate
2025-01-09 08:00:00,SNS-017,Roadside,24.5,60.4,2.9,0,0.93,528.5,43.7,54.7,93.1,Unhealthy for Sensitive
2025-01-09 09:00:00,SNS-049,Industrial,25.9,54.7,3.4,0,0.84,557.0,38.3,48.5,74.3,Unhealthy for Sensitive
2025-01-09 10:00:00,SNS-024,Park,23.7,58.2,5.2,0,0.34,402.5,20.7,4.0,12.5,Good
2025-01-09 11:00:00,SNS-001,Roadside,30.3,55.5,0.6,0,0.51,502.5,20.0,43.9,62.0,Unhealthy for Sensitive
2025-01-09 12:00:00,SNS-008,Roadside,24.6,58.9,3.6,0,0.33,480.6,22.6,36.9,55.6,Unhealthy for Sensitive
2025-01-09 13:00:00,SNS-024,Park,28.3,62.7,2.9,0,0.31,429.3,28.2,6.4,7.1,Good
2025-01-09 14:00:00,SNS-037,Residential,27.3,52.5,3.5,0,0.45,445.9,23.7,24.1,40.5,Moderate
2025-01-09 15:00:00,SNS-048,Roadside,24.1,55.6,4.2,0,0.51,484.5,34.0,44.1,67.6,Unhealthy for Sensitive
2025-01-09 16:00:00,SNS-049,Industrial,25.9,58.1,2.8,0,0.79,562.4,39.2,63.5,99.3,Unhealthy
2025-01-09 17:00:00,SNS-042,Residential,26.9,67.8,3.0,0,0.9,480.3,43.0,32.7,57.7,Moderate
2025-01-09 18:00:00,SNS-026,Industrial,28.7,58.6,1.0,0,0.95,591.9,48.0,64.5,95.9,Unhealthy
