,,,sensor_id,sensor_id,location_type,location_type,temperature_c,temperature_c,humidity_pct,humidity_pct,wind_speed_kmh,wind_speed_kmh,precipitation_mm,precipitation_mm,traffic_density_score,traffic_density_score,co2_ppm,co2_ppm,no2_ppb,no2_ppb,pm2.5,pm2.5,pm10,pm10,aqi_category,aqi_category
SNS-001,Roadside,2025-12-17,SNS-001,SNS-001,Roadside,Roadside,25.3,32.7,54.7,61.1,0.3,1.3,0.0,0.0,0.03,0.91,447.7,543.2,13.2,49.0,26.6,67.5,42.4,105.9,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2025-12-22,SNS-001,SNS-001,Roadside,Roadside,28.2,28.2,49.6,49.6,4.8,4.8,5.0,5.0,0.6,0.6,491.4,491.4,35.7,35.7,26.0,26.0,41.8,41.8,Moderate,Moderate
SNS-001,Roadside,2025-12-27,SNS-001,SNS-001,Roadside,Roadside,29.8,29.8,48.5,48.5,6.3,6.3,0.0,0.0,0.31,0.31,446.1,446.1,20.5,20.5,33.0,33.0,53.8,53.8,Moderate,Moderate
SNS-001,Roadside,2026-01-01,SNS-001,SNS-001,Roadside,Roadside,27.5,31.8,41.2,56.9,0.5,7.5,0.0,1.0,0.05,0.98,455.1,534.8,18.5,51.8,22.7,57.2,29.1,85.2,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-01-06,SNS-001,SNS-001,Roadside,Roadside,31.3,31.3,45.6,45.6,9.7,9.7,0.0,0.0,0.79,0.79,478.2,478.2,40.7,40.7,43.7,43.7,63.8,63.8,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2026-01-11,SNS-001,SNS-001,Roadside,Roadside,29.7,29.9,47.4,52.6,5.7,9.9,0.0,0.0,0.42,0.79,469.8,496.1,25.9,41.8,27.4,32.7,40.7,44.3,Moderate,Moderate
SNS-001,Roadside,2026-01-16,SNS-001,SNS-001,Roadside,Roadside,28.6,33.1,39.9,58.7,0.7,4.1,0.0,0.0,0.09,0.85,455.4,540.3,9.6,49.8,44.5,53.0,63.8,87.9,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2026-01-21,SNS-001,SNS-001,Roadside,Roadside,28.1,33.5,47.2,47.8,0.2,6.2,0.0,0.0,0.15,0.91,444.6,531.7,19.1,41.8,29.6,59.7,45.3,96.6,Moderate,Unhealthy
SNS-001,Roadside,2026-01-26,SNS-001,SNS-001,Roadside,Roadside,27.1,31.5,50.7,56.5,3.4,8.7,0.0,10.0,0.05,0.8,417.7,489.7,16.1,41.2,23.4,40.2,44.1,60.7,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-01-31,,,,,,,,,,,,,,,,,,,,,,,,
SNS-001,Roadside,2026-02-05,SNS-001,SNS-001,Roadside,Roadside,31.0,33.3,35.9,51.1,6.0,6.5,0.0,0.0,0.07,0.41,417.0,454.1,7.4,19.6,19.6,41.7,31.0,61.8,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-02-10,SNS-001,SNS-001,Roadside,Roadside,29.3,31.0,49.3,52.1,2.2,5.5,0.0,5.0,0.05,0.97,443.6,539.7,12.6,44.2,13.6,57.4,17.0,84.8,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-02-15,SNS-001,SNS-001,Roadside,Roadside,32.2,32.2,57.1,57.1,3.6,3.6,0.0,0.0,0.52,0.52,467.9,467.9,24.2,24.2,41.1,41.1,58.1,58.1,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2026-02-20,SNS-001,SNS-001,Roadside,Roadside,24.3,31.0,45.6,57.2,0.5,2.0,0.0,0.0,0.07,0.95,447.0,552.9,2.9,50.8,28.1,56.5,40.0,82.2,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-02-25,SNS-001,SNS-001,Roadside,Roadside,26.5,32.3,43.3,53.4,3.2,5.8,0.0,10.0,0.01,0.92,426.5,545.7,14.0,47.8,17.5,44.3,34.4,71.8,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-03-02,SNS-001,SNS-001,Roadside,Roadside,24.7,31.6,46.5,55.6,1.8,6.3,0.0,0.0,0.11,0.47,446.6,479.4,16.9,28.2,35.9,40.7,47.5,51.9,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2026-03-07,SNS-001,SNS-001,Roadside,Roadside,31.0,31.0,51.9,51.9,8.2,8.2,0.0,0.0,0.45,0.45,449.2,449.2,22.3,22.3,29.9,29.9,43.0,43.0,Moderate,Moderate
SNS-001,Roadside,2026-03-12,SNS-001,SNS-001,Roadside,Roadside,23.1,23.1,48.2,48.2,6.3,6.3,0.0,0.0,0.14,0.14,434.4,434.4,17.1,17.1,22.7,22.7,39.5,39.5,Moderate,Moderate
SNS-001,Roadside,2026-03-17,SNS-001,SNS-001,Roadside,Roadside,29.9,29.9,59.2,59.2,3.5,3.5,0.0,0.0,0.32,0.32,465.0,465.0,16.8,16.8,41.4,41.4,64.4,64.4,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2026-03-22,SNS-001,SNS-001,Roadside,Roadside,26.6,31.2,52.3,63.4,0.0,12.8,0.0,0.0,0.07,0.45,430.2,477.5,10.6,24.4,27.7,41.2,40.7,62.0,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-03-27,,,,,,,,,,,,,,,,,,,,,,,,
SNS-001,Roadside,2026-04-01,SNS-001,SNS-001,Roadside,Roadside,25.2,28.4,51.2,62.3,1.0,5.7,0.0,5.0,0.03,0.71,438.2,529.5,15.6,33.0,11.9,60.4,21.7,88.4,Good,Unhealthy
SNS-001,Roadside,2026-04-06,SNS-001,SNS-001,Roadside,Roadside,21.9,25.6,54.9,68.0,0.6,0.7,0.0,0.0,0.19,0.51,470.4,483.9,14.4,25.0,39.9,45.5,63.2,66.0,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2026-04-11,,,,,,,,,,,,,,,,,,,,,,,,
SNS-001,Roadside,2026-04-16,SNS-001,SNS-001,Roadside,Roadside,23.7,27.4,58.6,64.9,0.4,1.5,0.0,1.0,0.05,0.77,444.2,535.2,11.2,38.8,26.5,60.0,41.7,99.5,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-04-21,SNS-001,SNS-001,Roadside,Roadside,19.8,26.2,58.4,68.3,0.8,10.2,0.0,0.0,0.04,0.75,447.9,505.4,12.5,36.2,22.1,49.3,32.7,83.5,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-04-26,SNS-001,SNS-001,Roadside,Roadside,21.9,24.0,59.8,72.1,3.1,5.5,0.0,0.0,0.4,0.82,460.2,504.8,29.9,42.3,35.4,57.7,56.4,79.2,Unhealthy,Unhealthy for Sensitive
SNS-001,Roadside,2026-05-01,SNS-001,SNS-001,Roadside,Roadside,23.3,26.4,62.2,68.4,2.7,4.6,0.0,0.0,0.1,1.0,439.9,527.8,15.1,58.0,31.0,43.9,46.4,63.7,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-05-06,SNS-001,SNS-001,Roadside,Roadside,19.0,27.1,62.5,65.3,1.6,3.7,0.0,0.0,0.14,0.83,447.5,516.9,18.1,40.2,32.4,50.5,43.3,79.4,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-05-11,SNS-001,SNS-001,Roadside,Roadside,26.9,26.9,67.1,67.1,6.4,6.4,0.0,0.0,0.04,0.04,410.5,410.5,14.7,14.7,31.0,31.0,43.8,43.8,Moderate,Moderate
SNS-001,Roadside,2026-05-16,,,,,,,,,,,,,,,,,,,,,,,,
SNS-001,Roadside,2026-05-21,SNS-001,SNS-001,Roadside,Roadside,18.4,23.9,57.6,68.9,0.2,7.5,0.0,0.0,0.11,0.99,440.7,523.1,6.3,46.4,25.4,60.9,40.5,102.7,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-05-26,SNS-001,SNS-001,Roadside,Roadside,20.7,21.7,62.3,65.9,0.5,0.7,0.0,0.0,0.04,0.39,457.6,489.3,13.2,27.7,27.4,50.2,40.1,68.8,Moderate,Unhealthy for Sensitive
SNS-001,Roadside,2026-05-31,SNS-001,SNS-001,Roadside,Roadside,17.6,25.2,62.6,68.7,1.9,5.5,0.0,0.0,0.17,0.86,435.0,537.6,21.4,47.3,22.7,62.2,33.3,97.4,Moderate,Unhealthy
SNS-001,Roadside,2026-06-05,SNS-001,SNS-001,Roadside,Roadside,19.5,20.6,60.5,63.3,1.4,4.1,0.0,5.0,0.56,0.88,471.7,522.3,31.1,43.4,39.2,49.0,56.5,69.1,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2026-06-10,,,,,,,,,,,,,,,,,,,,,,,,
SNS-001,Roadside,2026-06-15,SNS-001,SNS-001,Roadside,Roadside,17.7,24.0,58.7,75.9,2.2,4.2,0.0,0.0,0.4,0.94,486.1,541.9,22.7,47.2,43.5,58.7,67.6,88.2,Unhealthy,Unhealthy for Sensitive
SNS-001,Roadside,2026-06-20,SNS-001,SNS-001,Roadside,Roadside,21.2,21.2,76.3,76.3,0.4,0.4,0.0,0.0,0.54,0.54,513.6,513.6,37.7,37.7,48.2,48.2,68.6,68.6,Unhealthy for Sensitive,Unhealthy for Sensitive
SNS-001,Roadside,2026-06-25,SNS-001,SNS-001,Roadside,Roadside,19.1,21.0,65.4,81.2,2.9,8.7,0.0,5.0,0.11,0.87,406.7,511.4,13.4,47.7,13.6,49.2,8.7,79.4,Moderate,Unhealthy for Sensitive
